income,spend,balance,churned
161.6,111.4,12638.0,yes
104.6,84.6,1005.0,yes
176.0,147.3,828.0,yes
148.6,74.7,5941.0,yes
46.0,23.8,13132.0,no
195.9,144.9,3167.0,yes
159.4,56.0,433.0,no
163.6,126.0,387.0,yes
51.8,25.6,350.0,no
106.6,20.5,210.0,no
93.0,14.7,3513.0,no
187.6,145.1,16116.0,yes
139.5,20.1,2922.0,no
169.9,55.1,100.0,no
105.4,38.7,2239.0,no
68.6,16.4,2335.0,no
124.3,43.6,69148.0,no
40.8,28.4,335.0,no
170.7,19.1,1659.0,yes
137.4,104.6,38514.0,yes
158.9,124.8,5855.0,no
90.3,35.9,6939.0,no
195.0,43.5,3540.0,no
181.8,105.6,4890.0,yes
162.3,31.8,9570.0,no
63.1,24.7,885.0,yes
109.3,94.8,11127.0,no
37.4,33.6,380.0,yes
56.2,40.4,4878.0,yes
146.1,51.0,3898.0,no
156.6,101.8,1183.0,yes
194.5,129.2,2881.0,yes
85.4,35.0,1172.0,no
93.0,57.0,597.0,no
109.8,11.9,1754.0,no
62.2,16.6,569.0,no
52.1,27.1,4838.0,yes
110.9,25.6,531.0,no
68.6,16.0,8673.0,no
143.9,110.6,507.0,yes
104.3,93.0,1275.0,yes
171.6,93.5,1168.0,no
149.0,115.0,21758.0,yes
83.1,74.1,4892.0,yes
171.5,36.6,2170.0,yes
166.8,76.5,6299.0,yes
95.9,39.7,126.0,yes
79.0,13.0,2794.0,no
146.0,102.8,59651.0,no
53.8,24.0,3636.0,yes
64.0,30.4,3301.0,no
31.3,6.9,6783.0,yes
163.8,40.1,11423.0,no
143.0,118.1,149.0,yes
149.9,20.3,239.0,no
162.7,46.6,4086.0,no
108.0,36.0,1020.0,no
126.7,62.3,21334.0,yes
53.8,30.6,1858.0,yes
49.5,24.5,164.0,no
143.6,24.0,445.0,no
110.1,32.5,48.0,no
126.1,97.7,2098.0,yes
160.0,97.6,2247.0,yes
137.9,85.4,1577.0,yes
124.1,79.0,15038.0,no
125.1,88.8,17994.0,yes
81.7,12.0,2309.0,no
35.2,13.9,121.0,yes
104.2,55.4,7525.0,yes
66.5,24.6,6857.0,no
99.4,77.1,4741.0,yes
175.1,85.1,12994.0,yes
69.8,49.9,519.0,no
39.9,31.2,60666.0,no
77.8,39.2,707.0,yes
79.9,66.1,9171.0,yes
142.5,81.2,237.0,yes
124.7,97.3,738.0,yes
163.3,60.8,28986.0,no
142.9,71.3,2016.0,yes
99.1,52.0,10508.0,no
168.4,31.0,4253.0,no
58.4,24.5,2547.0,no
33.9,28.2,23058.0,no
45.3,27.4,2090.0,no
152.8,37.0,206.0,no
108.5,40.3,893.0,no
57.4,14.5,6814.0,no
115.2,13.8,5395.0,no
55.9,47.1,284.0,yes
148.4,68.0,1006.0,no
105.8,36.6,1246.0,no
94.8,54.9,1723.0,yes
81.3,8.6,378.0,no
137.1,44.2,1161.0,no
91.5,60.6,999.0,yes
44.9,27.3,9483.0,no
50.1,44.3,10033.0,yes
193.5,115.4,2395.0,yes
184.5,88.9,1656.0,yes
149.0,105.6,3677.0,yes
75.2,61.9,876.0,yes
194.8,131.8,534.0,no
162.4,141.4,728.0,yes
151.9,110.2,1150.0,yes
106.4,84.4,520.0,yes
76.3,14.6,3801.0,no
46.4,31.8,8907.0,no
183.4,82.9,276.0,yes
107.5,58.3,3095.0,yes
64.4,40.1,2143.0,yes
82.0,71.8,4975.0,yes
128.5,114.0,2924.0,no
60.1,19.9,337.0,no
175.6,120.7,449.0,yes
158.9,111.3,3115.0,yes
152.3,57.4,13949.0,no
103.5,20.6,108.0,no
136.6,18.1,5007.0,no
129.3,93.3,17755.0,yes
140.5,69.1,2370.0,yes
44.4,39.4,6804.0,yes
100.7,47.5,1038.0,yes
37.1,32.7,2492.0,yes
114.0,48.9,262.0,no
86.1,63.3,89.0,yes
54.6,9.2,12261.0,no
47.6,25.9,680.0,no
129.9,96.3,1505.0,no
59.0,49.5,373.0,no
187.3,142.0,360.0,yes
128.8,16.7,2297.0,yes
89.0,35.4,998.0,no
130.5,18.1,5255.0,no
33.9,6.3,5877.0,no
193.0,123.5,4824.0,yes
112.0,75.1,4264.0,yes
163.1,117.2,31782.0,yes
44.1,34.9,601.0,yes
112.7,78.0,2745.0,yes
113.4,84.0,16302.0,yes
189.4,26.4,19867.0,no
127.2,36.6,353.0,no
110.5,66.0,1866.0,yes
75.4,59.3,22861.0,yes
86.4,8.9,6388.0,no
118.5,60.6,3995.0,no
104.6,67.1,2151.0,yes
33.7,4.2,1676.0,no
170.5,71.8,4593.0,yes
182.3,148.9,2041.0,no
53.8,34.3,2797.0,yes
124.2,36.0,3354.0,yes
48.5,37.9,1078.0,yes
144.3,54.6,6622.0,yes
77.8,60.9,235948.0,yes
142.1,48.2,207.0,yes
153.6,87.9,4847.0,yes
160.7,67.1,953.0,no
48.3,15.5,7088.0,yes
185.7,150.3,3197.0,yes
69.1,17.3,9347.0,no
36.4,6.1,17383.0,no
124.3,46.4,3978.0,yes
93.1,62.7,16286.0,no
171.1,127.6,89.0,no
167.4,150.5,32392.0,yes
83.9,28.3,5232.0,no
192.0,81.9,15014.0,yes
79.5,16.6,478.0,no
117.6,65.8,857.0,no
73.5,66.0,3710.0,yes
189.1,125.0,2906.0,no
58.0,33.4,4558.0,yes
37.6,15.6,15165.0,no
104.0,86.5,211.0,yes
198.7,98.9,12845.0,yes
181.6,37.7,3018.0,no
157.3,61.7,2196.0,yes
181.4,27.9,328.0,no
181.9,47.6,6340.0,yes
118.2,13.5,80.0,yes
83.7,38.7,7884.0,yes
161.2,98.0,318.0,yes
142.5,53.4,3230.0,no
93.5,40.8,2493.0,yes
46.1,40.0,17228.0,no
157.0,110.1,2280.0,yes
74.6,39.7,1052.0,no
189.3,62.0,1394.0,no
71.0,58.0,20117.0,yes
50.9,14.7,6664.0,no
171.3,61.7,1672.0,no
56.1,46.4,2091.0,yes
60.5,31.7,284.0,yes
131.9,91.5,5339.0,yes
178.7,102.3,213.0,no
63.4,39.5,9207.0,yes
82.8,28.1,3615.0,no
162.2,47.5,106983.0,no
195.2,69.9,572.0,no
115.1,25.8,2556.0,no
54.5,43.5,44242.0,yes
32.4,10.6,17802.0,yes
69.0,37.9,1049.0,yes
52.4,38.4,4171.0,yes
145.2,105.6,2990.0,yes
50.7,22.9,4550.0,yes
116.1,55.8,1045.0,yes
148.0,132.6,2607.0,yes
128.8,82.4,271.0,no
64.0,48.1,3651.0,yes
166.7,137.0,5855.0,yes
151.6,110.7,2119.0,yes
155.6,38.6,264.0,no
52.3,28.7,13132.0,yes
51.0,9.3,5150.0,no
187.7,116.8,1003.0,no
97.6,84.3,1957.0,yes
81.2,41.4,314.0,yes
113.1,50.5,640.0,yes
142.7,18.4,1330.0,no
192.5,167.0,18819.0,yes
78.7,14.4,1142.0,no
187.2,24.9,7788.0,no
34.2,10.2,1329.0,no
124.4,19.0,4324.0,no
137.8,63.9,2411.0,no
48.0,24.6,11043.0,yes
53.9,18.9,1336.0,yes
101.2,14.3,282.0,no
194.3,36.8,375.0,no
131.3,53.5,1342.0,no
188.6,28.0,458.0,no
166.7,109.8,5516.0,yes
109.5,29.1,1482.0,no
163.4,55.8,105020.0,no
33.0,13.7,220.0,yes
48.6,21.0,4046.0,yes
171.0,17.3,549.0,no
165.5,31.4,1422.0,no
69.5,55.0,3685.0,yes
120.2,12.1,91.0,yes
133.0,67.4,4252.0,yes
177.5,87.3,51759.0,yes
132.5,48.6,1510.0,no
100.1,44.6,4402.0,yes
93.6,67.8,13869.0,no
102.4,79.2,2331.0,no
140.8,43.4,1247.0,yes
177.5,63.5,98.0,yes
107.2,31.5,7797.0,yes
72.1,34.9,2516.0,no
70.2,45.4,653.0,yes
156.8,44.3,3604.0,no
168.8,61.5,1242.0,no
47.9,40.4,1349.0,yes
41.3,5.7,7401.0,no
131.1,61.4,400.0,no
54.8,36.7,14342.0,yes
170.2,37.5,366.0,no
82.8,11.4,1103.0,no
54.5,11.5,53339.0,no
186.6,155.8,16172.0,yes
58.1,6.2,3451.0,no
78.4,19.7,727.0,yes
56.1,7.0,1348.0,no
49.6,9.4,3327.0,no
33.6,20.0,3154.0,yes
39.4,11.6,2601.0,no
59.7,33.1,2846.0,yes
39.1,22.4,2161.0,yes
130.5,101.7,343.0,yes
145.7,15.1,1374.0,no
96.9,75.9,11754.0,yes
84.1,50.0,383.0,yes
115.8,26.6,2243.0,yes
178.8,128.4,872.0,no
174.7,137.0,3523.0,yes
37.4,11.3,1664.0,no
60.9,50.8,27340.0,yes
70.2,32.6,6373.0,yes
72.4,42.2,417.0,no
127.1,112.8,8159.0,no
100.8,39.2,933.0,no
38.4,28.8,1255.0,yes
93.5,33.2,4773.0,no
119.0,88.0,1426.0,yes
47.3,27.5,11376.0,yes
171.7,46.9,933.0,no
38.8,16.7,1178.0,no
187.2,66.3,1114.0,no
46.8,7.6,1276.0,no
173.4,21.5,15503.0,no
183.5,69.2,7656.0,no
196.5,22.6,38751.0,no
166.3,38.7,89453.0,yes
162.5,110.5,635.0,yes
139.2,92.8,3313.0,yes
162.4,112.2,511.0,yes
52.9,18.7,929.0,no
121.1,98.4,1158.0,yes
117.4,67.5,610.0,yes
175.8,35.3,615.0,no
108.7,23.4,2401.0,no
95.5,62.5,481.0,yes
138.7,33.1,10543.0,no
75.3,38.1,752.0,yes
53.8,48.0,201663.0,no
111.2,11.5,1515.0,no
100.9,11.4,3321.0,no
69.5,62.2,427.0,yes
92.5,52.5,38528.0,yes
92.3,18.6,15983.0,yes
85.7,70.1,4653.0,yes
94.5,76.0,395.0,yes
146.6,77.5,4089.0,yes
80.5,48.1,554.0,no
191.3,60.9,26730.0,no
185.8,26.1,10035.0,no
111.8,64.3,3440.0,yes
85.8,28.8,77.0,yes
121.0,76.4,682.0,no
174.3,134.0,8364.0,yes
140.9,16.1,18386.0,no
166.7,96.1,15737.0,yes
120.6,34.4,274.0,no
137.6,110.0,4686.0,yes
79.0,23.9,13674.0,yes
154.9,91.2,248.0,no
64.4,35.0,2946.0,yes
148.1,61.8,4495.0,no
176.3,113.2,1899.0,no
52.5,35.7,185.0,no
134.4,74.4,1829.0,no
46.2,32.6,1824.0,yes
153.4,136.0,2387.0,yes
44.4,19.3,1280.0,no
189.1,96.8,1534.0,yes
53.4,5.9,2809.0,no
193.0,142.2,5789.0,no
166.2,85.8,1888.0,yes
130.9,55.8,1612.0,no
163.0,28.6,3424.0,no
165.2,134.1,167.0,yes
190.8,79.4,6097.0,no
73.1,47.2,2978.0,yes
130.3,28.6,3164.0,no
46.2,40.1,12596.0,yes
134.7,32.7,159.0,no
59.1,15.3,154.0,no
126.0,99.2,4495.0,yes
127.3,105.7,2949.0,yes
