customer_id,tenure_months,monthly_charge,support_calls,contract_type,churned
C00000,7,50.19,4,two-year,1
C00001,55,111.84,0,one-year,0
C00002,47,98.13,2,one-year,0
C00003,32,31.06,4,month-to-month,1
C00004,31,119.7,2,month-to-month,1
C00005,61,107.92,2,month-to-month,1
C00006,7,48.39,0,two-year,0
C00007,50,103.69,2,one-year,1
C00008,15,30.64,2,month-to-month,1
C00009,7,119.91,2,month-to-month,1
C00010,38,86.57,1,two-year,1
C00011,70,85.01,1,one-year,0
C00012,53,29.04,1,one-year,0
C00013,55,109.7,1,two-year,1
C00014,51,22.9,1,one-year,0
C00015,56,44.08,2,one-year,0
C00016,37,34.3,0,month-to-month,1
C00017,10,97.68,1,month-to-month,1
C00018,60,39.82,1,two-year,0
C00019,32,111.06,2,one-year,0
C00020,36,85.63,0,month-to-month,1
C00021,27,23.62,0,one-year,0
C00022,13,20.54,1,month-to-month,0
C00023,66,25.17,5,two-year,0
C00024,56,80.59,1,month-to-month,1
C00025,46,100.15,3,two-year,1
C00026,29,43.86,4,one-year,1
C00027,59,104.94,2,month-to-month,1
C00028,39,25.72,1,month-to-month,1
C00029,32,100.1,0,two-year,0
C00030,32,112.78,3,month-to-month,0
C00031,17,97.21,4,month-to-month,1
C00032,7,89.81,2,one-year,1
C00033,40,103.8,3,month-to-month,1
C00034,64,24.02,1,month-to-month,0
C00035,5,40.18,0,month-to-month,0
C00036,61,32.49,1,two-year,1
C00037,59,70.45,1,month-to-month,0
C00038,20,94.52,2,month-to-month,0
C00039,45,83.0,4,month-to-month,1
C00040,12,105.11,4,month-to-month,1
C00041,54,35.52,0,month-to-month,0
C00042,50,93.46,2,month-to-month,1
C00043,26,39.3,4,month-to-month,1
C00044,5,47.08,3,month-to-month,1
C00045,69,90.99,2,two-year,1
C00046,32,118.02,6,month-to-month,1
C00047,64,81.15,3,month-to-month,1
C00048,49,25.45,4,two-year,0
C00049,56,81.63,2,two-year,0
C00050,54,24.24,0,one-year,0
C00051,14,108.41,3,month-to-month,1
C00052,26,90.96,1,month-to-month,1
C00053,34,37.31,3,month-to-month,1
C00054,36,29.17,3,month-to-month,0
C00055,4,38.35,2,month-to-month,0
C00056,39,118.0,1,one-year,1
C00057,11,65.86,1,month-to-month,0
C00058,53,98.41,4,one-year,1
C00059,49,83.64,4,month-to-month,1
C00060,66,77.24,0,month-to-month,1
C00061,53,34.51,3,one-year,0
C00062,27,114.6,3,two-year,0
C00063,69,50.13,2,month-to-month,0
C00064,30,77.8,0,one-year,0
C00065,24,89.98,1,month-to-month,0
C00066,65,84.92,3,month-to-month,0
C00067,27,114.06,1,one-year,0
C00068,6,34.84,2,month-to-month,1
C00069,34,70.84,2,month-to-month,0
C00070,57,60.4,6,month-to-month,1
C00071,14,67.42,6,month-to-month,1
C00072,33,31.92,2,month-to-month,1
C00073,10,33.41,1,month-to-month,0
C00074,49,47.81,0,two-year,0
C00075,34,50.47,4,one-year,1
C00076,24,62.79,1,month-to-month,1
C00077,17,81.1,2,month-to-month,1
C00078,41,83.46,3,one-year,0
C00079,48,61.18,1,month-to-month,0
C00080,67,60.88,1,one-year,0
C00081,32,41.76,3,one-year,1
C00082,12,78.83,5,month-to-month,1
C00083,60,51.7,1,month-to-month,0
C00084,45,23.61,4,month-to-month,1
C00085,50,61.84,3,month-to-month,0
C00086,7,67.41,2,month-to-month,0
C00087,23,42.56,2,two-year,1
C00088,55,77.25,2,month-to-month,1
C00089,60,76.58,3,one-year,0
C00090,31,90.2,1,one-year,0
C00091,58,84.79,1,month-to-month,1
C00092,60,85.24,1,month-to-month,0
C00093,28,51.62,4,month-to-month,1
C00094,64,98.74,4,one-year,1
C00095,21,74.91,3,month-to-month,1
C00096,18,63.14,3,one-year,1
C00097,49,82.6,4,two-year,0
C00098,46,56.07,1,one-year,0
C00099,10,71.27,1,two-year,0
C00100,60,93.67,3,one-year,1
C00101,15,108.64,2,two-year,1
C00102,58,112.11,3,two-year,1
C00103,1,70.36,1,one-year,1
C00104,57,72.03,2,two-year,0
C00105,56,99.99,1,two-year,0
C00106,56,51.45,0,month-to-month,0
C00107,48,103.74,2,one-year,1
C00108,34,69.41,4,one-year,1
C00109,51,31.59,2,two-year,0
C00110,20,27.21,1,month-to-month,0
C00111,56,104.2,1,two-year,0
C00112,40,25.56,2,one-year,0
C00113,33,48.06,0,two-year,0
C00114,36,53.41,1,month-to-month,0
C00115,41,37.3,1,one-year,0
C00116,3,51.39,6,one-year,1
C00117,10,94.27,4,two-year,0
C00118,18,21.47,0,two-year,0
C00119,9,102.72,2,one-year,0
C00120,32,105.65,3,one-year,1
C00121,48,57.23,4,month-to-month,1
C00122,47,35.36,2,two-year,1
C00123,34,80.08,3,month-to-month,1
C00124,61,31.97,2,one-year,0
C00125,41,56.49,1,one-year,1
C00126,6,115.84,4,month-to-month,1
C00127,55,119.55,2,month-to-month,1
C00128,41,97.21,1,month-to-month,1
C00129,46,51.1,2,two-year,0
C00130,41,88.77,2,one-year,0
C00131,40,90.54,2,month-to-month,1
C00132,7,58.78,4,one-year,1
C00133,40,84.09,0,month-to-month,0
C00134,57,21.07,2,two-year,0
C00135,22,40.91,1,month-to-month,0
C00136,43,72.51,1,month-to-month,1
C00137,3,36.38,2,month-to-month,1
C00138,25,36.59,1,one-year,0
C00139,32,103.63,3,month-to-month,1
C00140,70,118.91,3,one-year,0
C00141,16,75.6,3,month-to-month,1
C00142,20,103.91,0,month-to-month,0
C00143,30,119.03,1,month-to-month,0
C00144,71,34.16,1,month-to-month,0
C00145,61,64.82,4,two-year,1
C00146,3,59.26,1,month-to-month,0
C00147,17,28.0,0,two-year,0
C00148,59,95.53,2,month-to-month,1
C00149,5,63.38,2,month-to-month,1
C00150,61,66.93,1,month-to-month,0
C00151,20,35.07,3,month-to-month,1
C00152,66,38.09,2,one-year,0
C00153,21,110.71,3,one-year,0
C00154,31,24.46,0,month-to-month,1
C00155,47,43.29,5,one-year,0
C00156,9,49.21,3,one-year,0
C00157,40,69.02,0,two-year,0
C00158,36,78.64,1,two-year,0
C00159,56,69.33,2,one-year,1
C00160,71,28.41,3,two-year,0
C00161,48,44.37,2,one-year,0
C00162,30,104.36,6,month-to-month,1
C00163,29,83.76,2,one-year,0
C00164,30,84.91,2,month-to-month,1
C00165,58,87.02,4,one-year,0
C00166,23,96.29,3,two-year,1
C00167,12,25.81,1,month-to-month,0
C00168,24,56.66,2,two-year,0
C00169,2,73.95,1,two-year,0
C00170,8,53.85,2,month-to-month,0
C00171,7,104.45,2,one-year,0
C00172,55,68.26,3,two-year,0
C00173,52,96.86,2,two-year,0
C00174,50,105.2,2,month-to-month,0
C00175,33,70.48,0,month-to-month,0
C00176,51,110.96,5,one-year,0
C00177,12,78.71,2,month-to-month,1
C00178,64,105.03,4,month-to-month,1
C00179,36,54.06,4,month-to-month,0
C00180,67,69.88,1,month-to-month,1
C00181,11,73.14,0,one-year,1
C00182,36,30.5,0,one-year,0
C00183,50,59.86,1,one-year,0
C00184,36,111.73,0,one-year,1
C00185,32,83.08,5,month-to-month,1
C00186,12,37.75,3,month-to-month,1
C00187,28,53.89,1,month-to-month,0
C00188,17,39.16,2,month-to-month,0
C00189,22,22.48,2,month-to-month,0
C00190,49,112.75,2,month-to-month,0
C00191,45,64.82,2,month-to-month,0
C00192,44,50.75,3,month-to-month,1
C00193,26,79.85,2,one-year,0
C00194,69,20.73,2,one-year,0
C00195,7,47.8,3,two-year,1
C00196,25,90.3,2,one-year,0
C00197,9,83.38,1,one-year,0
C00198,25,118.18,3,month-to-month,1
C00199,69,82.04,3,one-year,0
C00200,27,67.75,4,month-to-month,1
C00201,65,96.14,0,month-to-month,0
C00202,36,110.33,3,month-to-month,1
C00203,50,92.07,3,month-to-month,1
C00204,33,116.32,1,month-to-month,1
C00205,19,98.2,0,one-year,0
C00206,55,106.68,3,two-year,0
C00207,69,31.41,1,one-year,0
C00208,19,93.24,2,one-year,0
C00209,56,64.01,2,one-year,0
C00210,19,75.31,3,month-to-month,0
C00211,51,85.41,4,one-year,1
C00212,57,116.98,1,one-year,0
C00213,32,118.46,7,month-to-month,1
C00214,53,48.82,2,month-to-month,1
C00215,20,93.38,5,two-year,1
C00216,6,95.0,2,one-year,1
C00217,7,54.65,2,month-to-month,1
C00218,32,32.39,2,one-year,0
C00219,65,24.09,0,month-to-month,0
C00220,10,97.73,2,month-to-month,1
C00221,33,68.97,2,month-to-month,0
C00222,50,118.55,0,month-to-month,1
C00223,15,66.5,1,one-year,1
C00224,52,117.79,2,month-to-month,0
C00225,22,61.16,0,one-year,1
C00226,58,99.37,1,month-to-month,1
C00227,42,28.48,1,one-year,0
C00228,39,75.55,2,one-year,1
C00229,13,100.21,0,one-year,0
C00230,33,112.47,2,one-year,1
C00231,61,102.26,2,two-year,0
C00232,2,23.7,1,one-year,0
C00233,54,57.27,4,one-year,0
C00234,35,24.87,2,one-year,0
C00235,52,30.93,1,month-to-month,0
C00236,48,87.53,2,month-to-month,1
C00237,31,91.33,3,month-to-month,0
C00238,22,97.37,2,month-to-month,0
C00239,45,106.55,2,month-to-month,1
C00240,10,93.94,0,month-to-month,1
C00241,42,100.09,1,one-year,0
C00242,7,24.9,1,month-to-month,0
C00243,47,43.45,4,two-year,0
C00244,45,82.19,2,month-to-month,1
C00245,6,105.81,5,one-year,1
C00246,54,20.45,3,month-to-month,1
C00247,30,71.46,1,month-to-month,0
C00248,56,87.73,1,month-to-month,0
C00249,3,22.96,4,one-year,1
C00250,13,60.14,3,month-to-month,1
C00251,36,109.56,1,two-year,0
C00252,14,87.16,3,month-to-month,1
C00253,24,43.77,2,one-year,0
C00254,47,105.28,3,month-to-month,1
C00255,11,54.8,2,one-year,0
C00256,49,105.33,2,month-to-month,1
C00257,8,49.89,2,month-to-month,1
C00258,13,79.03,3,month-to-month,1
C00259,42,59.69,3,month-to-month,1
C00260,57,47.48,2,month-to-month,1
C00261,13,108.66,1,two-year,0
C00262,22,38.76,0,month-to-month,1
C00263,66,28.48,1,month-to-month,1
C00264,71,54.19,2,two-year,0
C00265,42,91.76,1,month-to-month,1
C00266,32,100.74,3,month-to-month,0
C00267,25,119.87,0,one-year,0
C00268,44,49.64,1,two-year,1
C00269,42,60.79,2,one-year,0
C00270,21,33.68,2,month-to-month,0
C00271,2,77.49,2,two-year,0
C00272,11,119.76,0,month-to-month,1
C00273,69,90.09,2,two-year,0
C00274,30,79.52,2,two-year,0
C00275,35,59.24,4,two-year,0
C00276,34,111.53,2,month-to-month,1
C00277,56,69.69,2,month-to-month,0
C00278,5,33.44,2,one-year,1
C00279,6,56.54,3,one-year,0
C00280,20,26.72,0,one-year,0
C00281,35,40.2,2,two-year,0
C00282,48,21.77,0,one-year,0
C00283,35,65.33,4,month-to-month,1
C00284,32,83.45,3,month-to-month,1
C00285,67,54.33,4,month-to-month,0
C00286,12,62.04,1,month-to-month,0
C00287,41,115.92,1,month-to-month,0
C00288,39,95.2,1,two-year,0
C00289,34,74.09,2,one-year,0
C00290,58,48.45,2,one-year,0
C00291,19,109.7,3,month-to-month,1
C00292,68,43.51,2,one-year,0
C00293,24,52.53,1,two-year,1
C00294,39,110.91,2,two-year,0
C00295,37,72.95,6,one-year,1
C00296,61,94.23,1,two-year,0
C00297,32,79.07,1,one-year,0
C00298,21,85.34,1,month-to-month,1
C00299,2,49.94,2,two-year,0
C00300,26,44.14,0,month-to-month,0
C00301,59,52.25,1,month-to-month,0
C00302,1,35.54,0,month-to-month,1
C00303,64,107.43,1,one-year,0
C00304,39,48.32,2,one-year,0
C00305,10,76.15,1,one-year,0
C00306,22,99.2,0,month-to-month,1
C00307,40,98.38,4,month-to-month,1
C00308,23,63.84,2,two-year,0
C00309,8,67.63,6,month-to-month,1
C00310,48,119.47,1,two-year,0
C00311,48,87.46,2,month-to-month,1
C00312,9,101.46,1,one-year,1
C00313,20,110.26,4,one-year,0
C00314,18,98.76,1,two-year,1
C00315,47,38.52,0,month-to-month,0
C00316,52,76.22,1,two-year,0
C00317,52,30.19,3,one-year,0
C00318,67,85.29,2,one-year,0
C00319,55,115.53,2,one-year,0
C00320,23,71.27,1,month-to-month,1
C00321,8,63.3,2,month-to-month,0
C00322,44,23.58,5,month-to-month,0
C00323,66,115.98,1,month-to-month,0
C00324,70,30.3,2,one-year,1
C00325,17,24.11,2,month-to-month,1
C00326,17,44.61,2,month-to-month,0
C00327,3,26.55,2,month-to-month,1
C00328,11,65.51,1,month-to-month,1
C00329,40,71.61,1,month-to-month,0
C00330,39,51.26,3,one-year,1
