customer_id,tenure_months,monthly_charge,support_calls,contract_type,account_status,churned
D00000,18,82.65,3,month-to-month,closed,1
D00001,21,147.28,1,month-to-month,closed,1
D00002,8,116.23,4,two-year,closed,1
D00003,10,63.75,1,month-to-month,active,0
D00004,14,175.19,2,one-year,active,0
D00005,11,77.73,3,one-year,active,0
D00006,6,102.41,2,one-year,active,0
D00007,9,106.18,3,month-to-month,closed,1
D00008,15,118.73,1,one-year,active,0
D00009,1,154.25,2,one-year,active,0
D00010,8,60.73,3,one-year,active,0
D00011,7,171.9,3,two-year,closed,1
D00012,2,137.52,1,month-to-month,closed,1
D00013,3,174.08,4,month-to-month,closed,1
D00014,12,158.09,1,one-year,closed,1
D00015,3,171.34,3,month-to-month,closed,1
D00016,8,132.12,2,one-year,active,0
D00017,13,102.88,1,month-to-month,closed,1
D00018,21,113.15,1,month-to-month,closed,1
D00019,3,138.96,1,month-to-month,closed,1
D00020,10,111.23,2,month-to-month,active,0
D00021,3,147.8,2,two-year,active,0
D00022,10,71.02,3,month-to-month,closed,1
D00023,12,159.6,0,one-year,closed,1
D00024,19,84.5,1,month-to-month,active,0
D00025,11,173.27,1,two-year,active,0
D00026,22,78.67,4,month-to-month,closed,1
D00027,4,75.5,1,month-to-month,active,0
D00028,2,157.43,2,month-to-month,closed,1
D00029,1,158.24,1,month-to-month,closed,1
D00030,9,148.65,1,two-year,closed,1
D00031,5,175.26,4,two-year,closed,1
D00032,3,92.46,0,month-to-month,closed,1
D00033,6,159.2,1,month-to-month,closed,1
D00034,23,102.24,2,month-to-month,active,0
D00035,19,124.49,4,month-to-month,closed,1
D00036,1,113.47,1,month-to-month,active,0
D00037,22,60.7,2,month-to-month,closed,1
D00038,5,128.94,2,month-to-month,closed,1
D00039,10,149.7,1,one-year,active,0
D00040,8,80.95,2,month-to-month,active,0
D00041,10,171.8,1,month-to-month,closed,1
D00042,18,123.65,1,month-to-month,active,0
D00043,17,81.39,4,month-to-month,closed,1
D00044,14,137.51,1,month-to-month,closed,1
D00045,15,83.03,0,month-to-month,closed,1
D00046,17,67.62,1,month-to-month,closed,1
D00047,5,142.24,3,one-year,closed,1
D00048,10,73.28,2,one-year,closed,1
D00049,3,72.75,3,two-year,active,0
D00050,17,148.79,2,month-to-month,active,0
D00051,11,66.62,1,month-to-month,active,0
D00052,15,157.17,2,month-to-month,closed,1
D00053,13,155.54,3,month-to-month,closed,1
D00054,7,76.97,1,two-year,closed,1
D00055,4,122.21,3,two-year,active,0
D00056,23,71.6,2,month-to-month,active,0
D00057,7,135.91,4,month-to-month,closed,1
D00058,3,67.55,2,month-to-month,active,0
D00059,8,173.34,3,month-to-month,closed,1
D00060,21,84.93,4,two-year,active,0
D00061,7,141.95,5,month-to-month,closed,1
D00062,23,75.39,1,month-to-month,closed,1
D00063,11,85.15,0,month-to-month,active,0
D00064,20,114.11,6,month-to-month,active,0
D00065,16,128.77,0,month-to-month,closed,1
D00066,2,179.86,1,one-year,closed,1
D00067,12,63.11,0,month-to-month,active,0
D00068,10,60.04,1,month-to-month,closed,1
D00069,5,102.04,4,month-to-month,active,0
D00070,13,103.94,3,month-to-month,closed,1
D00071,3,166.06,0,month-to-month,closed,1
D00072,17,169.51,2,month-to-month,closed,1
D00073,19,165.66,1,month-to-month,active,0
D00074,3,77.18,0,month-to-month,active,0
D00075,12,109.45,4,one-year,closed,1
D00076,16,149.51,2,one-year,closed,1
D00077,2,97.51,4,two-year,closed,1
D00078,9,139.59,0,month-to-month,closed,1
D00079,6,88.46,1,one-year,active,0
D00080,1,98.81,3,month-to-month,closed,1
D00081,19,163.25,0,month-to-month,closed,1
D00082,11,90.06,0,month-to-month,closed,1
D00083,18,175.72,0,month-to-month,closed,1
D00084,14,96.75,4,one-year,active,0
D00085,21,62.82,1,month-to-month,active,0
D00086,23,90.59,3,month-to-month,active,0
D00087,14,80.54,1,two-year,closed,1
D00088,9,120.82,1,month-to-month,closed,1
D00089,10,73.53,0,two-year,active,0
D00090,19,135.13,2,one-year,active,0
D00091,10,164.99,2,one-year,active,0
D00092,12,103.5,2,one-year,active,0
D00093,5,80.22,1,month-to-month,active,0
D00094,23,108.0,0,month-to-month,closed,1
D00095,15,154.32,2,one-year,active,0
D00096,8,130.98,2,one-year,closed,1
D00097,14,72.14,0,month-to-month,closed,1
D00098,10,124.46,4,month-to-month,closed,1
D00099,4,116.17,2,month-to-month,closed,1
D00100,21,99.25,1,month-to-month,active,0
D00101,21,73.22,5,month-to-month,active,0
D00102,20,177.73,2,one-year,active,0
D00103,9,81.13,1,one-year,closed,1
D00104,6,83.13,3,month-to-month,active,0
D00105,2,77.47,0,month-to-month,active,0
D00106,17,128.42,1,month-to-month,closed,1
D00107,8,113.24,0,month-to-month,closed,1
D00108,21,89.95,2,month-to-month,active,0
D00109,21,111.53,0,month-to-month,closed,1
D00110,3,140.82,1,month-to-month,closed,1
D00111,22,93.8,0,month-to-month,active,0
D00112,4,169.83,1,month-to-month,closed,1
D00113,12,96.76,2,month-to-month,closed,1
D00114,11,83.78,1,month-to-month,active,0
D00115,22,174.55,2,month-to-month,closed,1
D00116,16,157.27,1,month-to-month,active,0
D00117,21,101.18,1,month-to-month,active,0
D00118,14,160.97,0,month-to-month,closed,1
D00119,19,122.26,4,month-to-month,closed,1
D00120,20,101.61,5,two-year,active,0
D00121,20,160.75,1,month-to-month,closed,1
D00122,10,150.26,1,month-to-month,closed,1
D00123,9,95.74,0,month-to-month,active,0
D00124,23,132.8,3,one-year,active,0
D00125,18,104.33,4,one-year,active,0
D00126,22,60.13,3,month-to-month,active,0
D00127,14,175.42,2,month-to-month,closed,1
D00128,22,125.96,3,month-to-month,closed,1
D00129,17,131.81,1,month-to-month,closed,1
D00130,18,131.99,3,month-to-month,closed,1
D00131,5,126.08,3,month-to-month,closed,1
D00132,14,94.81,2,two-year,active,0
D00133,17,176.59,1,one-year,closed,1
D00134,18,134.6,0,month-to-month,closed,1
D00135,23,140.51,2,two-year,closed,1
D00136,8,114.58,3,month-to-month,active,0
D00137,7,94.54,1,month-to-month,active,0
D00138,23,67.72,1,one-year,active,0
D00139,23,102.03,1,month-to-month,closed,1
D00140,5,81.13,0,month-to-month,closed,1
D00141,9,139.45,1,month-to-month,closed,1
