age,monthly_spend,purchases_per_month
30.0,27.81,5.6
25.0,9.35,0.6
22.0,9.54,2.6
29.0,42.9,3.6
24.0,11.09,2.3
18.0,35.88,0.4
36.0,31.72,1.4
25.0,35.66,3.1
25.0,37.07,3.2
23.0,15.99,3.1
32.0,15.37,2.4
22.0,40.72,1.7
16.0,20.56,0.5
21.0,-11.25,5.5
33.0,39.73,3.8
30.0,14.46,5.4
23.0,37.01,6.7
33.0,50.89,0.3
29.0,30.25,6.5
23.0,44.94,2.4
24.0,32.31,4.2
27.0,53.81,0.5
20.0,14.07,0.8
25.0,29.88,3.8
27.0,40.1,4.8
15.0,27.14,4.7
24.0,47.28,2.6
23.0,23.52,2.4
31.0,61.04,3.6
14.0,61.83,2.9
23.0,34.23,3.6
22.0,38.29,2.6
31.0,47.88,4.5
25.0,12.19,2.9
36.0,10.32,1.6
29.0,48.85,2.2
23.0,34.11,2.8
26.0,26.6,6.9
23.0,30.17,0.6
30.0,-5.79,2.4
17.0,27.14,4.3
20.0,18.7,4.2
28.0,43.77,0.4
32.0,44.93,3.1
12.0,38.65,6.7
33.0,35.93,0.9
24.0,7.54,5.3
14.0,38.86,5.0
7.0,39.44,3.1
16.0,48.68,4.6
25.0,61.77,2.6
25.0,4.61,3.7
29.0,24.17,1.1
22.0,18.87,2.3
18.0,32.59,0.1
23.0,30.2,5.8
25.0,26.49,6.6
26.0,45.41,6.1
20.0,13.48,0.8
30.0,14.38,0.9
21.0,14.64,5.8
20.0,24.6,3.6
22.0,11.57,3.0
31.0,29.27,0.1
24.0,27.52,3.3
21.0,18.2,1.3
31.0,43.11,3.9
38.0,29.11,6.1
26.0,45.94,6.9
32.0,27.07,4.1
31.0,29.64,2.1
21.0,21.56,2.6
25.0,29.89,8.4
17.0,40.68,0.6
24.0,23.83,1.8
21.0,37.78,6.2
23.0,17.81,3.9
21.0,41.39,9.4
23.0,21.3,0.2
28.0,42.78,1.0
24.0,30.91,5.7
14.0,52.81,1.6
21.0,12.69,1.4
16.0,7.86,1.8
26.0,20.76,5.1
28.0,9.23,3.8
27.0,9.26,3.4
20.0,39.32,0.8
26.0,29.94,5.6
22.0,22.8,14.1
18.0,24.2,4.1
29.0,21.04,2.3
30.0,54.76,1.9
31.0,18.97,0.1
