listing_id,sqft,age_years,bedrooms,location_tier,sale_price
H00000,2858.0,58,4,midtown,535174.0
H00001,2126.0,4,2,midtown,437318.0
H00002,1826.0,36,3,suburb,326938.0
H00003,2996.0,35,3,suburb,513595.0
H00004,924.0,30,1,midtown,196763.0
H00005,655.0,33,2,prime,197242.0
H00006,2973.0,23,5,prime,789683.0
H00007,2933.0,34,4,prime,736007.0
H00008,2328.0,21,3,midtown,495030.0
H00009,1126.0,28,1,prime,318363.0
H00010,3117.0,40,5,suburb,575181.0
H00011,2555.0,44,3,midtown,510926.0
H00012,2303.0,9,4,prime,616071.0
H00013,1063.0,59,1,midtown,207456.0
H00014,1861.0,5,3,suburb,351310.0
H00015,2712.0,16,3,suburb,466678.0
H00016,2816.0,20,4,suburb,472854.0
H00017,1994.0,19,3,suburb,362870.0
H00018,1888.0,21,2,midtown,399447.0
H00019,2369.0,19,3,midtown,484516.0
H00020,1903.0,26,3,suburb,328701.0
H00021,1599.0,45,3,midtown,302981.0
H00022,685.0,49,1,suburb,165224.0
H00023,797.0,20,2,midtown,214592.0
H00024,2541.0,15,4,suburb,448077.0
H00025,518.0,40,1,midtown,136060.0
H00026,594.0,3,1,midtown,218123.0
H00027,2938.0,26,4,midtown,598331.0
H00028,2386.0,13,3,midtown,444642.0
H00029,462.0,36,1,suburb,154271.0
H00030,1308.0,4,2,midtown,277302.0
H00031,2549.0,49,4,suburb,429815.0
H00032,1598.0,16,3,suburb,292967.0
H00033,1739.0,30,2,midtown,342241.0
H00034,1712.0,34,3,midtown,365755.0
H00035,1006.0,28,2,prime,259466.0
H00036,2434.0,26,4,suburb,435880.0
H00037,733.0,16,1,midtown,209165.0
H00038,1845.0,46,3,suburb,306938.0
H00039,917.0,30,1,midtown,179698.0
H00040,578.0,12,1,midtown,164248.0
H00041,844.0,15,1,midtown,201909.0
H00042,2841.0,26,3,prime,691807.0
H00043,934.0,50,2,midtown,179272.0
H00044,1216.0,57,1,suburb,206295.0
H00045,830.0,23,1,prime,259557.0
H00046,2473.0,23,4,prime,627299.0
H00047,1675.0,7,2,suburb,303882.0
H00048,3045.0,32,4,suburb,523181.0
H00049,2277.0,14,3,suburb,396180.0
H00050,1911.0,49,2,midtown,367814.0
H00051,2256.0,32,4,prime,615533.0
H00052,561.0,13,1,midtown,161843.0
H00053,3064.0,54,6,suburb,505881.0
H00054,3080.0,48,4,suburb,518484.0
H00055,1209.0,18,1,midtown,262637.0
H00056,2178.0,7,2,suburb,390780.0
H00057,1005.0,15,2,suburb,224820.0
H00058,1956.0,22,3,suburb,372193.0
H00059,2570.0,24,3,suburb,447641.0
H00060,3035.0,49,5,suburb,514812.0
H00061,1383.0,58,2,midtown,304303.0
H00062,2357.0,44,4,suburb,431795.0
H00063,2420.0,50,4,suburb,428929.0
H00064,1058.0,7,2,midtown,268165.0
H00065,2180.0,8,5,prime,603768.0
H00066,2252.0,54,2,midtown,436592.0
H00067,2551.0,36,3,midtown,501151.0
H00068,3200.0,14,4,midtown,632897.0
H00069,561.0,47,2,midtown,137065.0
H00070,1006.0,10,3,midtown,250466.0
H00071,849.0,46,2,suburb,184732.0
H00072,875.0,52,1,midtown,187130.0
H00073,1699.0,29,2,suburb,307551.0
H00074,2866.0,39,4,suburb,487696.0
H00075,1684.0,43,2,suburb,277226.0
H00076,2288.0,52,4,suburb,354665.0
H00077,1485.0,35,2,suburb,242446.0
H00078,1329.0,17,2,midtown,287260.0
H00079,2744.0,12,4,suburb,479028.0
H00080,2253.0,21,2,suburb,396958.0
H00081,1415.0,3,2,suburb,301076.0
H00082,2964.0,41,3,suburb,486559.0
H00083,1821.0,22,2,midtown,402827.0
H00084,968.0,42,1,suburb,160432.0
H00085,1779.0,3,2,suburb,336795.0
H00086,2305.0,19,3,suburb,412269.0
H00087,1460.0,23,2,suburb,294595.0
H00088,2770.0,5,4,suburb,507115.0
H00089,1916.0,49,3,suburb,332145.0
H00090,1736.0,35,2,midtown,320125.0
H00091,2811.0,50,4,prime,666260.0
H00092,1723.0,48,2,midtown,353961.0
H00093,1590.0,2,2,suburb,275340.0
H00094,735.0,51,1,suburb,156881.0
H00095,1447.0,4,2,midtown,342717.0
H00096,1542.0,52,4,suburb,271318.0
H00097,947.0,40,1,prime,236269.0
H00098,2067.0,49,2,midtown,424603.0
H00099,846.0,29,2,suburb,205912.0
H00100,1065.0,9,1,suburb,216196.0
H00101,1993.0,8,3,prime,550212.0
H00102,1190.0,7,1,prime,333769.0
H00103,2209.0,48,4,prime,560847.0
H00104,2349.0,32,3,suburb,395662.0
H00105,1279.0,12,3,midtown,309764.0
H00106,690.0,7,1,suburb,198382.0
H00107,1796.0,4,2,suburb,339098.0
H00108,705.0,15,2,midtown,179848.0
H00109,1867.0,44,3,prime,449701.0
H00110,2447.0,53,5,suburb,429417.0
H00111,2156.0,36,3,suburb,362510.0
H00112,1683.0,59,3,suburb,291336.0
H00113,3051.0,23,6,suburb,524560.0
H00114,730.0,19,1,suburb,173146.0
H00115,2870.0,41,3,prime,670030.0
H00116,2650.0,8,3,suburb,473935.0
H00117,1604.0,54,3,midtown,315934.0
H00118,870.0,46,1,suburb,187737.0
H00119,879.0,2,2,suburb,212689.0
H00120,2985.0,11,5,suburb,577939.0
H00121,1093.0,37,3,suburb,231233.0
H00122,2854.0,44,5,midtown,593991.0
H00123,1834.0,13,3,midtown,399016.0
H00124,1720.0,44,3,prime,449581.0
H00125,2154.0,28,3,suburb,405016.0
H00126,1041.0,40,1,midtown,231336.0
H00127,1628.0,25,2,prime,441024.0
H00128,3031.0,27,4,suburb,517268.0
H00129,1105.0,23,2,prime,321297.0
H00130,2984.0,9,4,prime,792794.0
H00131,3184.0,11,3,midtown,654186.0
H00132,593.0,10,1,midtown,160619.0
H00133,1911.0,48,3,midtown,366040.0
H00134,923.0,25,2,suburb,178989.0
H00135,2160.0,22,4,midtown,476497.0
H00136,3171.0,51,5,prime,757468.0
H00137,2916.0,53,4,suburb,497898.0
H00138,2993.0,14,3,midtown,604871.0
H00139,1037.0,21,2,midtown,237925.0
H00140,1941.0,24,2,suburb,372049.0
H00141,1096.0,50,2,midtown,201252.0
H00142,2923.0,40,5,midtown,613952.0
H00143,976.0,32,1,midtown,218113.0
H00144,873.0,14,2,midtown,190425.0
H00145,483.0,23,2,suburb,162054.0
H00146,950.0,1,2,prime,337807.0
H00147,972.0,42,1,midtown,193678.0
H00148,663.0,55,1,midtown,119082.0
H00149,2836.0,47,3,suburb,436719.0
H00150,2595.0,18,4,suburb,511552.0
H00151,1150.0,28,2,prime,310390.0
H00152,2604.0,57,2,suburb,387529.0
H00153,1611.0,25,2,suburb,299911.0
H00154,2583.0,50,4,midtown,473630.0
H00155,1338.0,34,2,midtown,266899.0
H00156,2003.0,29,3,prime,540353.0
H00157,1499.0,35,2,midtown,318761.0
H00158,966.0,13,1,prime,283605.0
H00159,2060.0,25,3,suburb,372601.0
H00160,2515.0,18,4,midtown,516946.0
H00161,2521.0,45,4,midtown,496893.0
H00162,1430.0,36,3,midtown,297846.0
H00163,1876.0,23,3,suburb,336942.0
H00164,2550.0,49,4,suburb,422715.0
H00165,600.0,27,1,midtown,141818.0
H00166,648.0,57,1,midtown,150598.0
H00167,1485.0,36,2,midtown,320761.0
H00168,1065.0,53,2,midtown,202476.0
H00169,1480.0,59,2,midtown,260872.0
H00170,708.0,19,1,suburb,154703.0
H00171,2078.0,15,4,midtown,493980.0
H00172,2297.0,50,4,midtown,437024.0
H00173,2628.0,13,4,suburb,474394.0
H00174,2239.0,45,3,suburb,381743.0
H00175,1540.0,10,3,midtown,354898.0
H00176,3021.0,52,4,midtown,565893.0
H00177,2447.0,41,5,suburb,458766.0
H00178,1901.0,31,2,suburb,339943.0
H00179,1019.0,26,3,suburb,235556.0
H00180,2235.0,38,3,midtown,454312.0
H00181,2077.0,23,4,midtown,462864.0
H00182,2329.0,23,3,suburb,441547.0
H00183,2598.0,12,4,prime,711148.0
H00184,2966.0,9,5,suburb,583873.0
H00185,3060.0,53,5,suburb,537898.0
H00186,2183.0,44,4,suburb,372886.0
H00187,3106.0,26,4,midtown,630530.0
H00188,2956.0,49,4,midtown,579254.0
H00189,457.0,36,2,suburb,152458.0
H00190,2203.0,35,3,midtown,424191.0
H00191,941.0,6,2,midtown,257310.0
H00192,1262.0,32,2,prime,333070.0
H00193,1268.0,6,2,prime,389819.0
H00194,1779.0,41,3,midtown,360682.0
H00195,480.0,4,1,suburb,146613.0
H00196,1098.0,30,1,suburb,178888.0
H00197,530.0,22,1,prime,201418.0
H00198,2239.0,7,3,midtown,480223.0
H00199,2896.0,28,5,midtown,594591.0
H00200,3194.0,12,5,prime,864966.0
H00201,1684.0,14,3,prime,468008.0
H00202,1165.0,53,1,midtown,228434.0
H00203,2796.0,20,3,prime,702771.0
H00204,761.0,24,2,suburb,176337.0
H00205,3129.0,0,4,midtown,685979.0
H00206,2416.0,18,4,prime,642181.0
H00207,1836.0,21,3,suburb,333083.0
H00208,716.0,43,1,suburb,170766.0
H00209,500.0,7,1,midtown,153398.0
H00210,1947.0,55,2,midtown,335521.0
H00211,1588.0,7,2,suburb,294638.0
H00212,2767.0,39,3,suburb,439724.0
H00213,2216.0,0,4,suburb,396970.0
H00214,1638.0,49,2,suburb,270834.0
H00215,1072.0,41,1,prime,274918.0
H00216,1771.0,50,3,midtown,375241.0
H00217,898.0,55,2,midtown,200785.0
H00218,2284.0,50,3,suburb,392730.0
H00219,2116.0,37,4,suburb,365407.0
H00220,2678.0,50,3,suburb,455195.0
H00221,1686.0,5,3,prime,512242.0
H00222,1216.0,38,2,prime,335036.0
H00223,2750.0,59,4,suburb,461268.0
H00224,2350.0,22,3,prime,581864.0
H00225,2393.0,58,3,suburb,409830.0
H00226,1902.0,30,2,suburb,364879.0
H00227,2859.0,28,4,midtown,577762.0
H00228,1076.0,18,2,suburb,213180.0
H00229,1555.0,6,2,prime,437920.0
H00230,2640.0,52,3,suburb,424380.0
H00231,816.0,43,1,midtown,167815.0
H00232,2672.0,24,4,suburb,485547.0
H00233,1420.0,57,2,suburb,243578.0
H00234,795.0,11,1,suburb,195465.0
H00235,668.0,46,2,prime,208822.0
H00236,2768.0,27,5,midtown,556120.0
H00237,2591.0,37,5,midtown,522774.0
H00238,1242.0,2,1,suburb,240175.0
H00239,770.0,36,1,suburb,147893.0
H00240,1130.0,40,2,suburb,244140.0
H00241,1036.0,58,1,midtown,230664.0
H00242,2466.0,20,4,suburb,462615.0
H00243,1043.0,4,2,suburb,233744.0
H00244,1044.0,3,3,midtown,256917.0
H00245,539.0,8,1,midtown,168315.0
H00246,2091.0,17,4,suburb,381728.0
H00247,2345.0,49,3,suburb,421230.0
H00248,2247.0,11,3,suburb,383019.0
H00249,2014.0,8,3,midtown,444816.0
H00250,3107.0,1,3,suburb,529836.0
H00251,1750.0,22,4,midtown,393076.0
H00252,2815.0,36,5,suburb,507819.0
H00253,2227.0,16,3,prime,604843.0
H00254,681.0,29,2,prime,226136.0
H00255,2678.0,14,3,suburb,485375.0
H00256,2057.0,48,2,suburb,327150.0
H00257,2247.0,1,4,suburb,437363.0
H00258,946.0,12,1,midtown,246103.0
H00259,1653.0,33,2,midtown,344077.0
H00260,2872.0,50,4,midtown,541761.0
H00261,1042.0,24,2,suburb,208530.0
H00262,450.0,4,1,suburb,151982.0
H00263,1158.0,33,2,midtown,235913.0
H00264,1791.0,16,3,midtown,375449.0
H00265,2709.0,18,3,midtown,554243.0
H00266,2219.0,55,3,midtown,415597.0
H00267,2977.0,56,3,midtown,522770.0
H00268,1703.0,15,4,midtown,416932.0
H00269,1525.0,35,1,prime,359509.0
H00270,1086.0,32,1,midtown,227247.0
H00271,1050.0,57,1,prime,239557.0
H00272,2474.0,56,3,prime,580984.0
H00273,671.0,21,1,suburb,134470.0
H00274,1117.0,1,1,midtown,280959.0
H00275,2886.0,0,5,midtown,621271.0
H00276,2037.0,0,3,suburb,409003.0
H00277,578.0,46,1,midtown,120626.0
H00278,2387.0,44,3,suburb,440866.0
H00279,1843.0,49,3,suburb,284906.0
H00280,2800.0,8,5,suburb,490258.0
H00281,2327.0,3,3,midtown,526827.0
H00282,462.0,10,1,midtown,158059.0
H00283,1016.0,37,2,midtown,233832.0
H00284,1159.0,0,2,suburb,259876.0
H00285,2381.0,39,3,midtown,477372.0
H00286,1851.0,53,3,suburb,322035.0
H00287,2505.0,8,3,suburb,434708.0
H00288,1860.0,44,4,suburb,352883.0
H00289,1350.0,33,2,prime,374529.0
H00290,735.0,56,1,suburb,153896.0
H00291,1007.0,14,1,midtown,268019.0
H00292,1552.0,13,2,prime,437122.0
H00293,1966.0,0,3,suburb,359047.0
H00294,3031.0,42,4,prime,771016.0
H00295,1109.0,52,1,suburb,167712.0
H00296,2282.0,1,2,suburb,420035.0
H00297,870.0,29,2,suburb,179356.0
H00298,2413.0,43,4,midtown,474282.0
H00299,481.0,46,1,prime,159297.0
H00300,2254.0,55,3,midtown,433693.0
H00301,899.0,43,1,midtown,197416.0
H00302,946.0,55,1,suburb,144972.0
H00303,1987.0,59,5,prime,511638.0
H00304,1482.0,55,3,suburb,247594.0
H00305,1746.0,26,2,suburb,310200.0
