week,store,demand
2024-01-01,Store 01,706.4
2024-01-08,Store 01,690.1
2024-01-15,Store 01,734.0
2024-01-22,Store 01,704.5
2024-01-29,Store 01,702.1
2024-02-05,Store 01,695.7
2024-02-12,Store 01,718.0
2024-02-19,Store 01,690.9
2024-02-26,Store 01,674.2
2024-03-04,Store 01,686.0
2024-03-11,Store 01,714.9
2024-03-18,Store 01,706.5
2024-03-25,Store 01,689.5
2024-04-01,Store 01,713.3
2024-04-08,Store 01,703.6
2024-04-15,Store 01,688.4
2024-04-22,Store 01,690.1
2024-04-29,Store 01,697.9
2024-05-06,Store 01,681.3
2024-05-13,Store 01,694.8
2024-05-20,Store 01,700.7
2024-05-27,Store 01,672.3
2024-06-03,Store 01,696.5
2024-06-10,Store 01,696.9
2024-06-17,Store 01,719.1
2024-06-24,Store 01,678.4
2024-07-01,Store 01,703.0
2024-07-08,Store 01,704.3
2024-07-15,Store 01,728.8
2024-07-22,Store 01,716.7
2024-07-29,Store 01,747.3
2024-08-05,Store 01,733.3
2024-08-12,Store 01,720.2
2024-08-19,Store 01,732.9
2024-08-26,Store 01,726.9
2024-09-02,Store 01,747.9
2024-09-09,Store 01,717.6
2024-09-16,Store 01,727.7
2024-09-23,Store 01,749.2
2024-09-30,Store 01,762.8
2024-10-07,Store 01,713.2
2024-10-14,Store 01,768.4
2024-10-21,Store 01,747.0
2024-10-28,Store 01,721.9
2024-11-04,Store 01,705.9
2024-11-11,Store 01,728.5
2024-11-18,Store 01,751.4
2024-11-25,Store 01,750.6
2024-12-02,Store 01,760.8
2024-12-09,Store 01,742.6
2024-12-16,Store 01,733.4
2024-12-23,Store 01,742.9
2024-12-30,Store 01,748.5
2025-01-06,Store 01,750.2
2025-01-13,Store 01,733.5
2025-01-20,Store 01,757.4
2025-01-27,Store 01,733.1
2025-02-03,Store 01,727.9
2025-02-10,Store 01,731.3
2025-02-17,Store 01,754.1
2025-02-24,Store 01,734.6
2025-03-03,Store 01,724.9
2025-03-10,Store 01,748.0
2025-03-17,Store 01,765.3
2025-03-24,Store 01,735.6
2025-03-31,Store 01,750.4
2025-04-07,Store 01,747.1
2025-04-14,Store 01,722.4
2025-04-21,Store 01,732.1
2025-04-28,Store 01,712.9
2025-05-05,Store 01,729.8
2025-05-12,Store 01,724.5
2025-05-19,Store 01,729.1
2025-05-26,Store 01,725.5
2025-06-02,Store 01,734.2
2025-06-09,Store 01,748.5
2025-06-16,Store 01,741.0
2025-06-23,Store 01,717.3
2024-01-01,Store 02,541.4
2024-01-08,Store 02,526.0
2024-01-15,Store 02,542.3
2024-01-22,Store 02,533.0
2024-01-29,Store 02,524.9
2024-02-05,Store 02,555.5
2024-02-12,Store 02,559.5
2024-02-19,Store 02,564.7
2024-02-26,Store 02,544.9
2024-03-04,Store 02,575.5
2024-03-11,Store 02,554.5
2024-03-18,Store 02,575.8
2024-03-25,Store 02,562.5
2024-04-01,Store 02,571.0
2024-04-08,Store 02,542.0
2024-04-15,Store 02,577.7
2024-04-22,Store 02,587.2
2024-04-29,Store 02,583.0
2024-05-06,Store 02,618.4
2024-05-13,Store 02,577.1
2024-05-20,Store 02,588.1
2024-05-27,Store 02,584.5
2024-06-03,Store 02,590.5
2024-06-10,Store 02,614.8
2024-06-17,Store 02,621.2
2024-06-24,Store 02,587.6
2024-07-01,Store 02,585.8
2024-07-08,Store 02,577.2
2024-07-15,Store 02,611.4
2024-07-22,Store 02,605.3
2024-07-29,Store 02,583.1
2024-08-05,Store 02,559.5
2024-08-12,Store 02,556.1
2024-08-19,Store 02,573.1
2024-08-26,Store 02,573.3
2024-09-02,Store 02,528.4
2024-09-09,Store 02,548.7
2024-09-16,Store 02,571.7
2024-09-23,Store 02,538.1
2024-09-30,Store 02,557.7
2024-10-07,Store 02,539.2
2024-10-14,Store 02,507.4
2024-10-21,Store 02,513.8
2024-10-28,Store 02,511.1
2024-11-04,Store 02,493.9
2024-11-11,Store 02,489.2
2024-11-18,Store 02,522.5
2024-11-25,Store 02,481.9
2024-12-02,Store 02,509.9
2024-12-09,Store 02,485.0
2024-12-16,Store 02,489.5
2024-12-23,Store 02,497.3
2024-12-30,Store 02,479.5
2025-01-06,Store 02,497.3
2025-01-13,Store 02,458.9
2025-01-20,Store 02,497.6
2025-01-27,Store 02,455.9
2025-02-03,Store 02,491.9
2025-02-10,Store 02,511.0
2025-02-17,Store 02,510.7
2025-02-24,Store 02,485.5
2025-03-03,Store 02,491.2
2025-03-10,Store 02,502.5
2025-03-17,Store 02,519.7
2025-03-24,Store 02,490.6
2025-03-31,Store 02,525.1
2025-04-07,Store 02,534.0
2025-04-14,Store 02,528.9
2025-04-21,Store 02,544.7
2025-04-28,Store 02,543.4
2025-05-05,Store 02,534.9
2025-05-12,Store 02,516.5
2025-05-19,Store 02,549.5
2025-05-26,Store 02,534.7
2025-06-02,Store 02,541.2
2025-06-09,Store 02,557.4
2025-06-16,Store 02,571.2
2025-06-23,Store 02,548.5
2024-01-01,Store 03,308.9
2024-01-08,Store 03,284.8
2024-01-15,Store 03,291.5
2024-01-22,Store 03,313.0
2024-01-29,Store 03,297.6
2024-02-05,Store 03,283.9
2024-02-12,Store 03,340.1
2024-02-19,Store 03,286.9
2024-02-26,Store 03,303.1
2024-03-04,Store 03,310.2
2024-03-11,Store 03,309.8
2024-03-18,Store 03,303.7
2024-03-25,Store 03,304.5
2024-04-01,Store 03,304.4
2024-04-08,Store 03,291.8
2024-04-15,Store 03,341.6
2024-04-22,Store 03,306.8
2024-04-29,Store 03,320.0
