week,sales
2023-01-01,967.93
2023-01-08,1071.35
2023-01-15,984.11
2023-01-22,986.51
2023-01-29,1111.21
2023-02-05,1059.5
2023-02-12,1271.72
2023-02-19,1113.91
2023-02-26,1166.34
2023-03-05,1273.91
2023-03-12,1231.82
2023-03-19,1191.09
2023-03-26,1416.94
2023-04-02,1243.9
2023-04-09,1298.77
2023-04-16,1301.64
2023-04-23,1357.62
2023-04-30,1340.83
2023-05-07,1258.99
2023-05-14,1282.15
2023-05-21,1279.01
2023-05-28,1326.55
2023-06-04,1198.85
2023-06-11,1376.01
2023-06-18,1194.31
2023-06-25,1223.58
2023-07-02,1138.4
2023-07-09,1114.0
2023-07-16,1123.67
2023-07-23,1102.85
2023-07-30,1122.2
2023-08-06,1075.65
2023-08-13,1165.11
2023-08-20,1067.32
2023-08-27,1053.77
2023-09-03,1079.33
2023-09-10,1160.57
2023-09-17,1114.7
2023-09-24,1099.48
2023-10-01,1026.02
2023-10-08,1052.9
2023-10-15,1057.11
2023-10-22,1227.41
2023-10-29,1198.74
2023-11-05,1135.71
2023-11-12,1176.44
2023-11-19,1185.86
2023-11-26,1209.24
2023-12-03,1318.67
2023-12-10,1303.83
2023-12-17,1477.01
2023-12-24,1458.91
2023-12-31,1494.57
2024-01-07,1488.39
2024-01-14,1454.5
2024-01-21,1546.79
2024-01-28,1520.01
2024-02-04,1667.43
2024-02-11,1620.88
2024-02-18,1637.44
2024-02-25,1652.22
2024-03-03,1769.51
2024-03-10,1596.98
2024-03-17,1808.49
2024-03-24,1699.37
2024-03-31,1635.63
2024-04-07,1681.41
2024-04-14,1631.14
2024-04-21,1770.22
2024-04-28,1666.79
2024-05-05,1734.72
2024-05-12,1785.76
2024-05-19,1668.3
2024-05-26,1681.53
2024-06-02,1606.74
2024-06-09,1647.62
2024-06-16,1810.3
2024-06-23,1686.78
2024-06-30,1608.12
2024-07-07,1571.19
2024-07-14,1589.58
2024-07-21,1584.88
2024-07-28,1537.91
2024-08-04,1582.19
2024-08-11,1482.17
2024-08-18,1472.79
2024-08-25,1545.61
2024-09-01,1448.79
2024-09-08,1560.74
2024-09-15,1516.95
2024-09-22,1411.78
2024-09-29,1534.57
2024-10-06,1436.35
2024-10-13,1591.41
2024-10-20,1550.07
2024-10-27,1693.97
2024-11-03,1667.68
2024-11-10,1562.66
2024-11-17,1530.13
2024-11-24,1633.08
2024-12-01,1633.78
2024-12-08,1846.62
2024-12-15,1767.52
2024-12-22,1855.9
2024-12-29,1814.9
2025-01-05,1853.33
2025-01-12,1893.91
2025-01-19,1993.31
2025-01-26,1975.64
2025-02-02,1922.17
2025-02-09,2109.98
2025-02-16,2020.13
2025-02-23,2033.27
2025-03-02,1911.32
2025-03-09,2137.07
2025-03-16,2120.25
2025-03-23,2132.54
2025-03-30,2111.83
2025-04-06,2108.03
2025-04-13,2124.01
2025-04-20,2174.79
2025-04-27,2183.44
2025-05-04,2126.73
2025-05-11,2190.64
2025-05-18,2119.89
2025-05-25,2083.36
2025-06-01,2112.85
2025-06-08,2005.36
2025-06-15,2085.83
2025-06-22,1963.58
2025-06-29,1978.34
2025-07-06,1902.77
2025-07-13,1997.63
2025-07-20,2089.66
2025-07-27,1972.03
2025-08-03,2005.0
2025-08-10,2096.51
2025-08-17,1970.54
2025-08-24,1893.49
2025-08-31,1897.25
2025-09-07,1933.04
2025-09-14,1895.84
2025-09-21,1903.97
2025-09-28,2003.12
2025-10-05,2015.03
2025-10-12,1867.0
2025-10-19,1931.91
2025-10-26,1971.07
2025-11-02,2055.35
2025-11-09,2110.88
2025-11-16,2229.49
2025-11-23,2066.45
2025-11-30,2098.11
2025-12-07,2188.39
2025-12-14,2143.2
2025-12-21,2207.43
